Date,Open,High,Low,Close,Volume,Open.Interest
30-01-2018 12:02:00,11080,11081.9,11079.2,11079.8,3600,26258925
30-01-2018 12:03:00,11080.4,11080.4,11076.2,11076.2,12375,26258925
30-01-2018 12:04:00,11076.2,11078.9,11076,11077.4,6750,26258925
30-01-2018 12:05:00,11077.4,11078.9,11076.05,11078.9,9600,26264175
30-01-2018 12:06:00,11077.6,11079.35,11077.1,11078.1,11625,26264175
30-01-2018 12:07:00,11078.1,11078.9,11077.1,11077.1,3675,26264175
30-01-2018 12:08:00,11077.35,11077.4,11073,11075.3,16425,26271075
30-01-2018 12:09:00,11076.05,11076.1,11073.15,11074.35,8175,26271075
30-01-2018 12:10:00,11074.35,11078.5,11073.1,11076.4,27450,26271075
30-01-2018 12:11:00,11076.4,11076.4,11074.5,11074.75,3375,26257650
30-01-2018 12:12:00,11074.75,11074.75,11072.2,11072.5,13950,26257650
30-01-2018 12:13:00,11072.5,11073,11068.5,11068.5,24150,26257650
30-01-2018 12:14:00,11069.1,11069.75,11066.05,11066.65,20550,26246175
30-01-2018 12:15:00,11066.9,11071.9,11066.05,11070.15,17325,26246175
30-01-2018 12:16:00,11070.15,11070.9,11068,11069.15,11925,26246175
30-01-2018 12:17:00,11069.15,11070,11068,11068.5,8625,26240325
30-01-2018 12:18:00,11068.5,11073.35,11068.05,11070.6,8325,26240325
30-01-2018 12:19:00,11070.6,11072.65,11069.9,11069.9,5775,26240325
30-01-2018 12:20:00,11069.9,11070,11068,11068,8100,26238375
30-01-2018 12:21:00,11068,11070.65,11068,11070.6,2925,26238375
30-01-2018 12:22:00,11070,11070,11067.05,11070,10725,26238375
30-01-2018 12:23:00,11069.55,11070.9,11067.2,11068,28575,26257875
